,Time,netinflow,storage,outflow,Year,DOY,elevation
0,1989-10-01 00:00:00,-0.04773120000000228,54.29,0.0122688,1989,274,65.972436
1,1989-10-02 00:00:00,0.0066864000000024515,54.23,0.1296864,1989,275,65.9715216
2,1989-10-03 00:00:00,-0.026766399999999912,54.107,0.22023359999999997,1989,276,65.96938800000001
3,1989-10-04 00:00:00,-0.21403359999999505,53.86,0.09296639999999999,1989,277,65.9657304
4,1989-10-05 00:00:00,0.3192687999999951,53.553000000000004,0.0122688,1989,278,65.9611584
5,1989-10-06 00:00:00,11.235476799999999,53.86,0.5064768000000001,1989,279,65.9657304
6,1989-10-07 00:00:00,4.822134400000002,64.589,1.1401344,1989,280,66.1236168
7,1989-10-08 00:00:00,3.2156607999999975,68.271,1.1596608,1989,281,66.1748232
8,1989-10-09 00:00:00,1.9875856000000076,70.327,1.1645856,1989,282,66.20256
9,1989-10-10 00:00:00,1.291286399999996,71.15,1.7712864,1989,283,66.2138376
10,1989-10-11 00:00:00,1.1068736000000015,70.67,2.8208736,1989,284,66.2074368
11,1989-10-12 00:00:00,0.7351039999999984,68.956,3.271104,1989,285,66.18427199999999
12,1989-10-13 00:00:00,0.5184896000000014,66.42,2.6104896,1989,286,66.1498296
13,1989-10-14 00:00:00,0.5553775999999973,64.328,2.1823775999999997,1989,287,66.11995920000001
14,1989-10-15 00:00:00,0.4731839999999927,62.701,2.165184,1989,288,66.0967944
15,1989-10-16 00:00:00,0.8504960000000028,61.00899999999999,2.150496,1989,289,66.0727152
16,1989-10-17 00:00:00,0.28538880000000777,59.708999999999996,2.1333887999999996,1989,290,66.0541224
17,1989-10-18 00:00:00,0.4552815999999984,57.861000000000004,2.1162815999999998,1989,291,66.0260808
18,1989-10-19 00:00:00,-0.08675200000000616,56.2,1.453248,1989,292,66.00108720000001
19,1989-10-20 00:00:00,0.08347840000000017,54.66,0.3914784,1989,293,65.9779224
20,1989-10-21 00:00:00,-0.049731199999997616,54.352,0.0122688,1989,294,65.9733504
21,1989-10-22 00:00:00,-3.527731199999999,54.29,0.0122688,1989,295,65.972436
22,1989-10-23 00:00:00,0.0122688,50.75,0.0122688,1989,296,65.9742648
23,1989-10-24 00:00:00,3.7992687999999992,50.75,0.0122688,1989,297,65.9742648
24,1989-10-25 00:00:00,0.0122688,54.537,0.0122688,1989,298,65.9760936
25,1989-10-26 00:00:00,-3.6622383999999992,54.537,0.12476159999999999,1989,299,65.9760936
26,1989-10-27 00:00:00,3.6259647999999993,50.75,0.2079648,1989,300,65.9742648
27,1989-10-28 00:00:00,0.2079648,54.168,0.2079648,1989,301,65.9703024
28,1989-10-29 00:00:00,1.0079648000000043,54.168,0.2079648,1989,302,65.9703024
29,1989-10-30 00:00:00,13.464971199999999,54.968,0.5039712,1989,303,65.9824944
30,1989-10-31 00:00:00,11.565665600000004,67.929,2.3266656,1989,304,66.17025120000001
31,1989-11-01 00:00:00,5.128143999999996,77.168,3.474144,1989,305,66.2927808
32,1989-11-02 00:00:00,2.6145631999999908,78.822,3.4765631999999997,1989,306,66.3141168
33,1989-11-03 00:00:00,1.5140368000000026,77.96,3.4570368000000005,1989,307,66.303144
34,1989-11-04 00:00:00,0.9096607999999993,76.017,3.4276608,1989,308,66.2778456
35,1989-11-05 00:00:00,1.1138656000000031,73.499,3.3958655999999996,1989,309,66.2455368
36,1989-11-06 00:00:00,0.6881456000000075,71.217,3.3591455999999997,1989,310,66.214752
37,1989-11-07 00:00:00,0.1991743999999942,68.546,2.8551744,1989,311,66.1784808
38,1989-11-08 00:00:00,0.17172159999999925,65.89,2.1897216,1989,312,66.1422096
39,1989-11-09 00:00:00,0.12124480000000215,63.872,1.6832447999999998,1989,313,66.1135584
40,1989-11-10 00:00:00,0.2520703999999987,62.31,1.0960704,1989,314,66.09130800000001
41,1989-11-11 00:00:00,0.1141455999999963,61.466,1.0911456000000002,1989,315,66.079116
42,1989-11-12 00:00:00,0.2418016000000014,60.489,1.0838016000000001,1989,316,66.06509520000002
43,1989-11-13 00:00:00,0.21938239999999798,59.647,1.0813823999999999,1989,317,66.05320800000001
44,1989-11-14 00:00:00,0.5869632000000027,58.785,1.0789632,1989,318,66.0401016
45,1989-11-15 00:00:00,-0.1555423999999921,58.293,1.0764576000000001,1989,319,66.0327864
46,1989-11-16 00:00:00,-0.3468864000000038,57.06100000000001,1.0691136,1989,320,66.0141936
47,1989-11-17 00:00:00,0.09593599999999325,55.645,0.711936,1989,321,65.99285760000001
48,1989-11-18 00:00:00,-0.0027167999999973547,55.028999999999996,0.4892832,1989,322,65.9834088
49,1989-11-19 00:00:00,0.2422832000000001,54.537,0.4892832,1989,323,65.9760936
50,1989-11-20 00:00:00,0.3672832000000001,54.29,0.4892832,1989,324,65.972436
51,1989-11-21 00:00:00,-0.06571679999999974,54.168,0.4892832,1989,325,65.9703024
52,1989-11-22 00:00:00,0.01385760000000752,53.613,0.19085760000000002,1989,326,65.9620728
53,1989-11-23 00:00:00,-0.1617312000000066,53.43600000000001,0.0122688,1989,327,65.9593296
54,1989-11-24 00:00:00,0.0122688,53.262,0.0122688,1989,328,65.9565864
55,1989-11-25 00:00:00,0.3632687999999991,53.262,0.0122688,1989,329,65.9565864
56,1989-11-26 00:00:00,-0.22273119999999944,53.613,0.0122688,1989,330,65.9620728
57,1989-11-27 00:00:00,0.3712687999999947,53.378,0.0122688,1989,331,65.9584152
58,1989-11-28 00:00:00,-0.2887311999999877,53.736999999999995,0.0122688,1989,332,65.9639016
59,1989-11-29 00:00:00,-0.04573120000000694,53.43600000000001,0.0122688,1989,333,65.9593296
60,1989-11-30 00:00:00,0.07026880000000693,53.378,0.0122688,1989,334,65.9584152
61,1989-12-01 00:00:00,0.1892687999999925,53.43600000000001,0.0122688,1989,335,65.9593296
62,1989-12-02 00:00:00,0.0122688,53.613,0.0122688,1989,336,65.9620728
63,1989-12-03 00:00:00,-0.28073119999999924,53.613,0.0122688,1989,337,65.9620728
